Key,en,ru,tr,fr,de
Cocktail.Points,Bonus Points,Бонусные очки,Bonus puanlar,Points bonus,Bonuspunkte
Cocktail.Time,Bonus Time,Бонусное Время,Bonus zamanı,Heure bonus,Bonuszeit
Bob,Bob,Бывалый,Bob,Bob,Bob
Gundos,Gunya,Гуня,Gunya,Gunya,Gunya
SoberMan,Rookie,Новичок,Çaylak,Débutant,Anfänger
Alkodzilla,Alсodzilla,Алкодзилла,Alet,Alсodzilla,Aluodzilla
Characteristic.Stamina,Stamina,Выносливость,Dayanıklılık,Endurance,Ausdauer
Characteristic.AlcoResist,Alcohol Resistance,Сопротивление Алкоголю,Alkol direnci,Résistance à l'alcool,Alkoholresistenz
Characteristic.Hangover,Metabolism,Метаболизм,Metabolizma,Métabolisme,Stoffwechsel
How.Time,Drink until your time's up,Пей пока не вышло время,Zamanın bitene kadar iç,Boire jusqu'à ce que votre temps soit écoulé,Trinken Sie bis zu Ihrer Zeit läuft
How.Stomach,"Mix cocktails in your stomach
and get bonus points and time","Собирай коктейли в желудке
и получай бонусные очки и время","Midenizdeki kokteylleri karıştırın
ve bonus puan ve zaman alın","Mélanger les cocktails dans votre estomac
et obtenir des points bonus et du temps","Mischen Sie Cocktails in Ihrem Magen
und Bonuspunkte und Zeit erhalten"
How.Drink,"Drag drinks into your mouth
and get points","Перетаскивай напитки в рот
и получай очки","İçecekleri ağzınıza sürükleyin
Ve puan al","Traîner des boissons dans la bouche
et obtenir des points","Ziehen Sie Getränke in Ihren Mund
und Punkte bekommen"
How.Bar,"Drink!
Fill drunk bar!
Earn coins!","Пей!
Заполняй шкалу нетрезвости!
Зарабатывай монеты!","İçmek!
Sarhoş çubuğu doldurun!
Para kazanmak!","Boire!
VIGHT BAR DIVER!
Gagner des pièces!","Trinken!
Füllen Sie betrunkene Bar!
Verdienen Sie Münzen!"
